store_id,direction,event_time,coef,se,t,p,raw_mean_diff,n_events,weight_sum
CA_2,up,-6,0.14745240454937705,0.04027768470049734,3.660895745269994,0.00025133502015588563,0.06871092162624019,410.0,410.0
CA_2,up,-5,0.14973867808041363,0.03775619876197125,3.9659362698141436,7.310839633284077e-05,0.07099719515727711,410.0,410.0
CA_2,up,-4,0.18361331386635654,0.036215064767417864,5.0700810573049315,3.976463094369922e-07,0.1048718309432207,410.0,410.0
CA_2,up,-3,0.16653656066456513,0.037088423540338915,4.490257195306051,7.113722430786073e-06,0.08779507774143075,410.0,410.0
CA_2,up,-2,0.1826459602889779,0.03390491196322435,5.387005885374029,7.164108918124039e-08,0.10390447736584182,410.0,410.0
CA_3,down,-8,0.3638674183052021,0.04601909250908025,7.906879481237177,2.6392090417236507e-15,0.054128258783020765,486.0,486.0
CA_3,down,-7,0.41184836002944,0.04461330041591682,9.231515180224227,2.668302901625492e-20,0.10210920050725966,487.0,487.0
CA_3,down,-6,0.39091763148794784,0.04553701513618655,8.584612546932185,9.114308128708265e-18,0.08117847196576591,489.0,489.0
CA_3,down,-5,0.3717576622364488,0.045583749583797004,8.15548667300928,3.477765785212591e-16,0.062018502714268633,489.0,489.0
CA_3,down,-4,0.3284366031114279,0.04369402077330406,7.516740215221721,5.6158849392032545e-14,0.018697443589247173,489.0,489.0
CA_3,down,-3,0.3221450720777811,0.042429298302384275,7.5925147237157695,3.137558177540163e-14,0.012405912555599072,489.0,489.0
CA_3,down,-2,0.23769338766683448,0.03678661281680828,6.461409993100243,1.0373184822332983e-10,-0.0720457718553475,489.0,489.0
CA_3,up,-8,0.19092660398865485,0.048296596159680044,3.9532103537360284,7.71095915265464e-05,0.08345220156631447,293.0,293.0
CA_3,up,-7,0.12473089599448814,0.044953261580499344,2.7746795584816075,0.005525612205296639,0.017256493572148274,294.0,294.0
CA_3,up,-6,0.17637840276597339,0.04322234245224068,4.080722902995504,4.489585160164013e-05,0.06890400034363127,295.0,295.0
CA_3,up,-5,0.21546865561998527,0.04338271010260453,4.966694222430548,6.810384292593669e-07,0.10799425319764538,295.0,295.0
CA_3,up,-4,0.20653605488827181,0.03839841104238859,5.378765664555065,7.499825080218539e-08,0.0990616524659327,295.0,295.0
CA_3,up,-3,0.20597388424443536,0.037308684933807734,5.520802585507095,3.37454741394583e-08,0.09849948182209474,295.0,295.0
CA_3,up,-2,0.16855459752728189,0.03396861112692185,4.96206915547671,6.974615205602786e-07,0.06108019510494204,295.0,295.0
CA_4,down,-8,0.010026071788292994,0.03583670721878891,0.27977101040790936,0.7796531942158811,0.027158611059324888,429.0,429.0
CA_4,down,-7,0.008313076298476024,0.032390501792737454,0.2566516675681748,0.7974476856066459,0.025445615569509132,431.0,431.0
CA_4,down,-6,0.007906358518839817,0.03454680266992564,0.22885934175675876,0.8189782424695174,0.025038897789871357,433.0,433.0
CA_4,down,-5,0.017797021048419927,0.030391723713246888,0.5855877480441398,0.5581525837161442,0.03492956031945045,433.0,433.0
CA_4,down,-4,0.035520723150556446,0.031695074997842784,1.1207016595787844,0.26241487555111187,0.05265326242158808,433.0,433.0
CA_4,down,-3,0.02591360692638134,0.030024138826739454,0.8630924295921093,0.38808664992249553,0.04304614619741169,433.0,433.0
CA_4,down,-2,-0.0004950908871954041,0.02470438885231511,-0.020040604532056975,0.9840109813290283,0.016637448383836274,433.0,433.0
CA_4,up,-8,0.08541339751216714,0.039347676945603496,2.170735457400638,0.029951175284467384,0.06684818915443407,476.0,476.0
